Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	1032	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1119	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1145	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1007	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	915	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1033	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1069	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	974	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1159	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	996	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	949	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	916	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1009	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	951	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	956	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1160	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	905	0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	959	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1042	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	997	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	927	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1053	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1088	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	914	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1043	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	952	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	992	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1079	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1081	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1144	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1091	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1075	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1087	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1031	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1095	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1097	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1057	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1096	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1059	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1003	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1102	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1101	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1061	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1001	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1093	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1099	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1012	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1070	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	896	0.000	0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1065	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	986	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1036	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1071	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1100	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1023	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1038	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	991	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1037	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	903	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	930	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	923	0.000	0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1002	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1024	0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	881	0.000	0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	862	0.000	0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1092	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1055	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1034	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1168	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1125	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	893	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	1052	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
